name	link
Aleksander Barkov	https://www.hockey-reference.com/players/b/barkoal01.html
Alex BarrÃ©-Boulet	https://www.hockey-reference.com/players/b/barreal01.html
Tyson Barrie	https://www.hockey-reference.com/players/b/barrity01.html
Justin Barron	https://www.hockey-reference.com/players/b/barroju01.html
Morgan Barron	https://www.hockey-reference.com/players/b/barromo01.html
Mathew Barzal	https://www.hockey-reference.com/players/b/barzama01.html
Nathan Bastian	https://www.hockey-reference.com/players/b/bastina01.html
Drake Batherson	https://www.hockey-reference.com/players/b/bathedr01.html
Jake Bean	https://www.hockey-reference.com/players/b/beanja01.html
Ethan Bear	https://www.hockey-reference.com/players/b/bearet01.html
Anthony Beauvillier	https://www.hockey-reference.com/players/b/beauvan01.html
Adam Beckman	https://www.hockey-reference.com/players/b/beckmad01.html
Connor Bedard	https://www.hockey-reference.com/players/b/bedarco01.html
John Beecher	https://www.hockey-reference.com/players/b/beechjo01.html
Pierre-Ãdouard Bellemare	https://www.hockey-reference.com/players/b/bellepi01.html
Louis Belpedio	https://www.hockey-reference.com/players/b/belpelo01.html
Emil BemstrÃ¶m	https://www.hockey-reference.com/players/b/bemstem01.html
Matthew Beniers	https://www.hockey-reference.com/players/b/beniema01.html
Jamie Benn	https://www.hockey-reference.com/players/b/bennja01.html
Sam Bennett	https://www.hockey-reference.com/players/b/bennesa01.html
Matt Benning	https://www.hockey-reference.com/players/b/bennima01.html
Simon Benoit	https://www.hockey-reference.com/players/b/benoisi01.html
Zach Benson	https://www.hockey-reference.com/players/b/bensoza01.html
Jonatan Berggren	https://www.hockey-reference.com/players/b/berggjo02.html
Jacob Bernard-Docker	https://www.hockey-reference.com/players/b/bernaja01.html
Tyler Bertuzzi	https://www.hockey-reference.com/players/b/bertuty01.html
Jordan Binnington	https://www.hockey-reference.com/players/b/binnijo01.html
Brandon Biro	https://www.hockey-reference.com/players/b/birobr01.html
Oliver Bjorkstrand	https://www.hockey-reference.com/players/b/bjorkol01.html
Tobias BjÃ¶rnfot	https://www.hockey-reference.com/players/b/bjornto01.html
Nick Bjugstad	https://www.hockey-reference.com/players/b/bjugsni01.html
Colin Blackwell	https://www.hockey-reference.com/players/b/blackco01.html
Mackenzie Blackwood	https://www.hockey-reference.com/players/b/blackma01.html
Sammy Blais	https://www.hockey-reference.com/players/b/blaissa01.html
Jackson Blake	https://www.hockey-reference.com/players/b/blakeja02.html
Nick Blankenburg	https://www.hockey-reference.com/players/b/blankni01.html
Anton Blidh	https://www.hockey-reference.com/players/b/blidhan01.html
Teddy Blueger	https://www.hockey-reference.com/players/b/bluegte01.html
Sergei Bobrovsky	https://www.hockey-reference.com/players/b/bobrose01.html
Brock Boeser	https://www.hockey-reference.com/players/b/boesebr01.html
Zach Bogosian	https://www.hockey-reference.com/players/b/bogosza01.html
Samuel Bolduc	https://www.hockey-reference.com/players/b/boldusa01.html
Zachary Bolduc	https://www.hockey-reference.com/players/b/bolduza01.html
Matt Boldy	https://www.hockey-reference.com/players/b/boldyma01.html
Nick Bonino	https://www.hockey-reference.com/players/b/boninni01.html
Adam Boqvist	https://www.hockey-reference.com/players/b/boqviad01.html
Jesper Boqvist	https://www.hockey-reference.com/players/b/boqvije01.html
Thomas Bordeleau	https://www.hockey-reference.com/players/b/bordeth01.html
William Borgen	https://www.hockey-reference.com/players/b/borgewi01.html
Robert Bortuzzo	https://www.hockey-reference.com/players/b/borturo01.html
Evan Bouchard	https://www.hockey-reference.com/players/b/bouchev01.html
Mavrik Bourque	https://www.hockey-reference.com/players/b/bourqma01.html
Shane Bowers	https://www.hockey-reference.com/players/b/bowersh01.html
Travis Boyd	https://www.hockey-reference.com/players/b/boydtr01.html
Erik BrÃ¤nnstrÃ¶m	https://www.hockey-reference.com/players/b/branner01.html
Jesper Bratt	https://www.hockey-reference.com/players/b/brattje01.html
Justin Brazeau	https://www.hockey-reference.com/players/b/brazeju01.html
Gavin Brindley	https://www.hockey-reference.com/players/b/brindga01.html
Bobby Brink	https://www.hockey-reference.com/players/b/brinkbo01.html
Brendan Brisson	https://www.hockey-reference.com/players/b/brissbr01.html
Philip Broberg	https://www.hockey-reference.com/players/b/brobeph01.html
T.J. Brodie	https://www.hockey-reference.com/players/b/broditj01.html
Jonas Brodin	https://www.hockey-reference.com/players/b/brodijo01.html
Jonny Brodzinski	https://www.hockey-reference.com/players/b/brodzjo01.html
Laurent Brossoit	https://www.hockey-reference.com/players/b/brossla01.html
Connor Brown	https://www.hockey-reference.com/players/b/brownco02.html
Josh Brown	https://www.hockey-reference.com/players/b/brownjo01.html
Patrick Brown	https://www.hockey-reference.com/players/b/brownpa02.html
Jacob Bryson	https://www.hockey-reference.com/players/b/brysoja01.html
Pavel Buchnevich	https://www.hockey-reference.com/players/b/buchnpa01.html
Michael Bunting	https://www.hockey-reference.com/players/b/buntimi01.html
AndrÃ© Burakovsky	https://www.hockey-reference.com/players/b/burakan01.html
Callahan Burke	https://www.hockey-reference.com/players/b/burkeca01.html
Brent Burns	https://www.hockey-reference.com/players/b/burnsbr01.html
Kyle Burroughs	https://www.hockey-reference.com/players/b/burroky01.html
Cameron Butler	https://www.hockey-reference.com/players/b/butleca01.html
Quinton Byfield	https://www.hockey-reference.com/players/b/byfiequ01.html
Bowen Byram	https://www.hockey-reference.com/players/b/byrambo01.html
Jack Campbell	https://www.hockey-reference.com/players/c/campbja01.html
Michael Carcone	https://www.hockey-reference.com/players/c/carcomi01.html
Declan Carlile	https://www.hockey-reference.com/players/c/carlide01.html
Brandon Carlo	https://www.hockey-reference.com/players/c/carlobr01.html
John Carlson	https://www.hockey-reference.com/players/c/carlsjo01.html
Leo Carlsson	https://www.hockey-reference.com/players/c/carlsle01.html
Ryan Carpenter	https://www.hockey-reference.com/players/c/carpery01.html
Sam Carrick	https://www.hockey-reference.com/players/c/carrisa01.html
Alexandre Carrier	https://www.hockey-reference.com/players/c/carrial01.html
William Carrier	https://www.hockey-reference.com/players/c/carriwi01.html
Jeff Carter	https://www.hockey-reference.com/players/c/carteje01.html
Noah Cates	https://www.hockey-reference.com/players/c/catesno01.html
Cole Caufield	https://www.hockey-reference.com/players/c/caufico01.html
Cody Ceci	https://www.hockey-reference.com/players/c/cecico01.html
Erik ÄernÃ¡k	https://www.hockey-reference.com/players/c/cernaer01.html
Thomas Chabot	https://www.hockey-reference.com/players/c/chaboth01.html
Mitchell Chaffee	https://www.hockey-reference.com/players/c/chaffmi01.html
Rourke Chartier	https://www.hockey-reference.com/players/c/chartro01.html
Jalen Chatfield	https://www.hockey-reference.com/players/c/chatfja01.html
Ben Chiarot	https://www.hockey-reference.com/players/c/chiarbe01.html
Nikita Chibrikov	https://www.hockey-reference.com/players/c/chibrni01.html
Yegor Chinakhov	https://www.hockey-reference.com/players/c/chinaye01.html
Declan Chisholm	https://www.hockey-reference.com/players/c/chishde01.html
Jake Christiansen	https://www.hockey-reference.com/players/c/chrisja01.html
Magnus Chrona	https://www.hockey-reference.com/players/c/chronma01.html
Jakob Chychrun	https://www.hockey-reference.com/players/c/chychja01.html
Filip Chytil	https://www.hockey-reference.com/players/c/chytifi01.html
Anthony Cirelli	https://www.hockey-reference.com/players/c/cirelan01.html
Casey Cizikas	https://www.hockey-reference.com/players/c/cizikca01.html
Kale Clague	https://www.hockey-reference.com/players/c/claguka01.html
Brandt Clarke	https://www.hockey-reference.com/players/c/clarkbr02.html
Graeme Clarke	https://www.hockey-reference.com/players/c/clarkgr01.html
Connor Clifton	https://www.hockey-reference.com/players/c/cliftco01.html
Cal Clutterbuck	https://www.hockey-reference.com/players/c/cluttca01.html
Dylan Coghlan	https://www.hockey-reference.com/players/c/coghldy01.html
Andrew Cogliano	https://www.hockey-reference.com/players/c/coglian01.html
Sam Colangelo	https://www.hockey-reference.com/players/c/colansa01.html
Ian Cole	https://www.hockey-reference.com/players/c/coleia01.html
Blake Coleman	https://www.hockey-reference.com/players/c/colembl01.html
