name	link	position	shoots	years_active
John Gibson	https://www.hockey-reference.com/players/g/gibsojo02.html	G	Not Found	2014-2024
Brandon Gignac	https://www.hockey-reference.com/players/g/gignabr01.html	C	Left	2019-2024
Dennis Gilbert	https://www.hockey-reference.com/players/g/gilbede01.html	D	Left	2019-2024
Adam Ginning	https://www.hockey-reference.com/players/g/ginniad01.html	D	Left	2023-2024
Mark Giordano	https://www.hockey-reference.com/players/g/giordma01.html	D	Left	2006-2024
Samuel Girard	https://www.hockey-reference.com/players/g/girarsa01.html	D	Left	2018-2024
Zemgus Girgensons	https://www.hockey-reference.com/players/g/girgeze01.html	C	Left	2014-2024
Claude Giroux	https://www.hockey-reference.com/players/g/giroucl01.html	C	Right	2008-2024
Cody Glass	https://www.hockey-reference.com/players/g/glassco01.html	C	Right	2020-2024
Luke Glendening	https://www.hockey-reference.com/players/g/glendlu01.html	C	Right	2014-2024
Alex Goligoski	https://www.hockey-reference.com/players/g/goligal01.html	D	Left	2008-2024
Gage Goncalves	https://www.hockey-reference.com/players/g/goncaga01.html	C	Left	2024
Barclay Goodrow	https://www.hockey-reference.com/players/g/goodrba01.html	RW	Left	2015-2024
Shayne Gostisbehere	https://www.hockey-reference.com/players/g/gostish01.html	D	Left	2015-2024
Yanni Gourde	https://www.hockey-reference.com/players/g/gourdya01.html	C	Left	2016-2024
Collin Graf	https://www.hockey-reference.com/players/g/grafco01.html	F	Right	2024
Mikael Granlund	https://www.hockey-reference.com/players/g/granlmi01.html	C	Left	2013-2024
Ryan Graves	https://www.hockey-reference.com/players/g/gravery01.html	D	Left	2019-2024
Jet Greaves	https://www.hockey-reference.com/players/g/greavje01.html	G	Not Found	2023-2024
Jordan Greenway	https://www.hockey-reference.com/players/g/greenjo02.html	LW	Left	2018-2024
A.J. Greer	https://www.hockey-reference.com/players/g/greeraj01.html	LW	Left	2017-2024
Noah Gregor	https://www.hockey-reference.com/players/g/gregono01.html	C	Left	2020-2024
Ridly Greig	https://www.hockey-reference.com/players/g/greigri01.html	C	Left	2023-2024
Benoit-Olivier Groulx	https://www.hockey-reference.com/players/g/groulbe01.html	C	Left	2022-2024
Philipp Grubauer	https://www.hockey-reference.com/players/g/grubaph01.html	G	Not Found	2013-2024
Jonathan Gruden	https://www.hockey-reference.com/players/g/grudejo02.html	C	Left	2023-2024
Carl GrundstrÃ¶m	https://www.hockey-reference.com/players/g/grundca01.html	RW	Left	2019-2024
Matt Grzelcyk	https://www.hockey-reference.com/players/g/grzelma01.html	D	Left	2017-2024
Radko Gudas	https://www.hockey-reference.com/players/g/gudasra01.html	D	Right	2013-2024
Erik Gudbranson	https://www.hockey-reference.com/players/g/gudbrer01.html	D	Right	2012-2024
Max Guenette	https://www.hockey-reference.com/players/g/guenema01.html	D	Right	2023-2024
Dylan Guenther	https://www.hockey-reference.com/players/g/guentdy01.html	RW	Right	2023-2024
Jake Guentzel	https://www.hockey-reference.com/players/g/guentja01.html	C	Left	2017-2024
Kaiden Guhle	https://www.hockey-reference.com/players/g/guhleka01.html	D	Left	2023-2024
Denis Gurianov	https://www.hockey-reference.com/players/g/guriade01.html	RW	Left	2017-2024
Daniil Gushchin	https://www.hockey-reference.com/players/g/gushcda01.html	LW	Left	2023-2024
David Gustafsson	https://www.hockey-reference.com/players/g/gustada01.html	C	Left	2020-2024
Erik Gustafsson	https://www.hockey-reference.com/players/g/gustaer02.html	D	Left	2016-2024
Filip Gustavsson	https://www.hockey-reference.com/players/g/gustafi01.html	G	Not Found	2021-2024
Cole Guttman	https://www.hockey-reference.com/players/g/guttmco01.html	C	Right	2023-2024
Brandon Hagel	https://www.hockey-reference.com/players/h/hagelbr01.html	LW	Left	2020-2024
Robert HÃ¤gg	https://www.hockey-reference.com/players/h/haggro01.html	D	Left	2017-2024
Nicolas Hague	https://www.hockey-reference.com/players/h/hagueni01.html	D	Left	2020-2024
Jani HakanpÃ¤Ã¤	https://www.hockey-reference.com/players/h/hakanja01.html	D	Right	2020-2024
Taylor Hall	https://www.hockey-reference.com/players/h/hallta02.html	LW	Left	2011-2024
Brian Halonen	https://www.hockey-reference.com/players/h/halonbr01.html	F	Right	2024
Hardy Haman Aktell	https://www.hockey-reference.com/players/h/hamanha01.html	D	Left	2024
James Hamblin	https://www.hockey-reference.com/players/h/hamblja01.html	F	Left	2023-2024
Dougie Hamilton	https://www.hockey-reference.com/players/h/hamildo01.html	D	Right	2013-2024
Travis Hamonic	https://www.hockey-reference.com/players/h/hamontr01.html	D	Right	2011-2024
Noah Hanifin	https://www.hockey-reference.com/players/h/hanifno01.html	D	Left	2016-2024
Joel Hanley	https://www.hockey-reference.com/players/h/hanlejo01.html	D	Left	2016-2024
Jansen Harkins	https://www.hockey-reference.com/players/h/harkija01.html	C	Left	2020-2024
Thomas Harley	https://www.hockey-reference.com/players/h/harleth01.html	D	Left	2022-2024
Jordan Harris	https://www.hockey-reference.com/players/h/harrijo01.html	D	Left	2022-2024
Carter Hart	https://www.hockey-reference.com/players/h/hartca01.html	G	Not Found	2019-2024
Ryan Hartman	https://www.hockey-reference.com/players/h/hartmry01.html	RW	Right	2015-2024
RafaÃ«l Harvey-Pinard	https://www.hockey-reference.com/players/h/harvera01.html	LW	Left	2022-2024
Santeri Hatakka	https://www.hockey-reference.com/players/h/hataksa01.html	D	Left	2022-2024
Garnet Hathaway	https://www.hockey-reference.com/players/h/hathaga01.html	RW	Right	2016-2024
Erik Haula	https://www.hockey-reference.com/players/h/haulaer01.html	LW	Left	2014-2024
John Hayden	https://www.hockey-reference.com/players/h/haydejo01.html	C	Right	2017-2024
Kevin Hayes	https://www.hockey-reference.com/players/h/hayeske01.html	RW	Left	2015-2024
Barrett Hayton	https://www.hockey-reference.com/players/h/haytoba01.html	C	Left	2020-2024
Victor Hedman	https://www.hockey-reference.com/players/h/hedmavi01.html	D	Left	2010-2024
Emil Heineman	https://www.hockey-reference.com/players/h/heineem01.html	LW	Left	2024
Danton Heinen	https://www.hockey-reference.com/players/h/heineda01.html	C	Left	2017-2024
Miro Heiskanen	https://www.hockey-reference.com/players/h/heiskmi01.html	D	Left	2019-2024
Magnus Hellberg	https://www.hockey-reference.com/players/h/hellbma01.html	G	Not Found	2014-2024
Connor Hellebuyck	https://www.hockey-reference.com/players/h/helleco01.html	G	Not Found	2016-2024
Adam Henrique	https://www.hockey-reference.com/players/h/henriad01.html	C	Left	2011-2024
TomÃ¡Å¡ Hertl	https://www.hockey-reference.com/players/h/hertlto01.html	C	Left	2014-2024
Matthew Highmore	https://www.hockey-reference.com/players/h/highmma01.html	LW	Left	2018-2024
Adin Hill	https://www.hockey-reference.com/players/h/hillad01.html	G	Not Found	2018-2024
Vinnie Hinostroza	https://www.hockey-reference.com/players/h/hinosvi01.html	C	Right	2016-2024
Roope Hintz	https://www.hockey-reference.com/players/h/hintzro01.html	LW	Left	2019-2024
Akito Hirose	https://www.hockey-reference.com/players/h/hirosak01.html	D	Left	2023-2024
Nico Hischier	https://www.hockey-reference.com/players/h/hischni01.html	C	Left	2018-2024
Joel Hofer	https://www.hockey-reference.com/players/h/hoferjo01.html	G	Not Found	2022-2024
Mike Hoffman	https://www.hockey-reference.com/players/h/hoffmmi02.html	C	Left	2012-2024
Nils HÃ¶glander	https://www.hockey-reference.com/players/h/hoglani01.html	LW	Left	2021-2024
Justin Holl	https://www.hockey-reference.com/players/h/hollju01.html	D	Right	2018-2024
Dylan Holloway	https://www.hockey-reference.com/players/h/hollody01.html	C	Left	2023-2024
Pontus Holmberg	https://www.hockey-reference.com/players/h/holmbpo01.html	RW	Left	2023-2024
Simon HolmstrÃ¶m	https://www.hockey-reference.com/players/h/holmssi01.html	RW	Left	2023-2024
Alexander Holtz	https://www.hockey-reference.com/players/h/holtzal01.html	RW	Right	2022-2024
Bo Horvat	https://www.hockey-reference.com/players/h/horvabo01.html	C	Left	2015-2024
Brett Howden	https://www.hockey-reference.com/players/h/howdebr01.html	C	Left	2019-2024
Filip Hronek	https://www.hockey-reference.com/players/h/hronefi01.html	D	Right	2019-2024
Jonathan Huberdeau	https://www.hockey-reference.com/players/h/huberjo01.html	LW	Left	2013-2024
Jack Hughes	https://www.hockey-reference.com/players/h/hugheja03.html	C	Left	2020-2024
Luke Hughes	https://www.hockey-reference.com/players/h/hughelu01.html	D	Left	2023-2024
Quinn Hughes	https://www.hockey-reference.com/players/h/hughequ01.html	D	Left	2019-2024
Daemon Hunt	https://www.hockey-reference.com/players/h/huntda01.html	D	Left	2024
Dryden Hunt	https://www.hockey-reference.com/players/h/huntdr01.html	LW	Left	2018-2024
Ville Husso	https://www.hockey-reference.com/players/h/hussovi01.html	G	Not Found	2021-2024
Michael Hutchinson	https://www.hockey-reference.com/players/h/hutchmi01.html	G	Not Found	2014-2024
Lane Hutson	https://www.hockey-reference.com/players/h/hutsola01.html	D	Left	2024
Ben Hutton	https://www.hockey-reference.com/players/h/huttobe01.html	D	Left	2016-2024
Grant Hutton	https://www.hockey-reference.com/players/h/huttogr01.html	D	Right	2022-2024
Zach Hyman	https://www.hockey-reference.com/players/h/hymanza01.html	LW	Right	2016-2024
Alex Iafallo	https://www.hockey-reference.com/players/i/iafalal01.html	C	Left	2018-2024
Bokondji Imama	https://www.hockey-reference.com/players/i/imamabo01.html	LW	Left	2022-2024
Connor Ingram	https://www.hockey-reference.com/players/i/ingraco01.html	G	Not Found	2022-2024
Vincent Iorio	https://www.hockey-reference.com/players/i/ioriovi01.html	D	Right	2023-2024
Ruslan Iskhakov	https://www.hockey-reference.com/players/i/iskharu01.html	C	Left	2024
Mark Jankowski	https://www.hockey-reference.com/players/j/jankoma01.html	C	Left	2017-2024
Mattias Janmark	https://www.hockey-reference.com/players/j/janmama02.html	C	Left	2016-2024
Calle JÃ¤rnkrok	https://www.hockey-reference.com/players/j/jarnkca01.html	C	Right	2014-2024
Tristan Jarry	https://www.hockey-reference.com/players/j/jarrytr01.html	G	Not Found	2017-2024
Roby Jarventie	https://www.hockey-reference.com/players/j/jarvero01.html	LW	Left	2024
Seth Jarvis	https://www.hockey-reference.com/players/j/jarvise01.html	C	Right	2022-2024
Tanner Jeannot	https://www.hockey-reference.com/players/j/jeannta01.html	F	Left	2021-2024
Jan JenÃ­k	https://www.hockey-reference.com/players/j/jenikja01.html	RW	Left	2021-2024
Boone Jenner	https://www.hockey-reference.com/players/j/jennebo01.html	C	Left	2014-2024
Nick Jensen	https://www.hockey-reference.com/players/j/jenseni02.html	D	Right	2017-2024
David JiÅÃ­Äek	https://www.hockey-reference.com/players/j/jiricda01.html	D	Right	2023-2024
Lucas Johansen	https://www.hockey-reference.com/players/j/johanlu01.html	D	Left	2022-2024
Ryan Johansen	https://www.hockey-reference.com/players/j/johanry01.html	C	Right	2012-2024
Jonas Johansson	https://www.hockey-reference.com/players/j/johanjo03.html	G	Not Found	2020-2024
Marcus Johansson	https://www.hockey-reference.com/players/j/johanma03.html	C	Left	2011-2024
Erik Johnson	https://www.hockey-reference.com/players/j/johnser01.html	D	Right	2008-2024
Jack Johnson	https://www.hockey-reference.com/players/j/johnsja02.html	D	Left	2007-2024
Kent Johnson	https://www.hockey-reference.com/players/j/johnske01.html	C	Left	2022-2024
Reese Johnson	https://www.hockey-reference.com/players/j/johnsre01.html	F	Right	2021-2024
Ryan Johnson	https://www.hockey-reference.com/players/j/johnsry03.html	D	Left	2024
Tyler Johnson	https://www.hockey-reference.com/players/j/johnsty01.html	C	Right	2013-2024
Ross Johnston	https://www.hockey-reference.com/players/j/johnsro02.html	LW	Left	2016-2024
Wyatt Johnston	https://www.hockey-reference.com/players/j/johnswy01.html	C	Right	2023-2024
Marc Johnstone	https://www.hockey-reference.com/players/j/johnsma04.html	F	Right	2024
Henri Jokiharju	https://www.hockey-reference.com/players/j/jokihhe01.html	D	Right	2019-2024
Caleb Jones	https://www.hockey-reference.com/players/j/jonesca01.html	D	Left	2019-2024
Martin Jones	https://www.hockey-reference.com/players/j/jonesma02.html	G	Not Found	2014-2024
Max Jones	https://www.hockey-reference.com/players/j/jonesma03.html	LW	Left	2019-2024
Seth Jones	https://www.hockey-reference.com/players/j/jonesse01.html	D	Right	2014-2024
Zachary Jones	https://www.hockey-reference.com/players/j/jonesza01.html	D	Left	2021-2024
Axel Jonsson-FjÃ¤llby	https://www.hockey-reference.com/players/j/jonssax01.html	LW	Left	2022-2024
Mathieu Joseph	https://www.hockey-reference.com/players/j/josepma01.html	RW	Left	2019-2024
Pierre-Olivier Joseph	https://www.hockey-reference.com/players/j/joseppi01.html	D	Left	2021-2024
Dakota Joshua	https://www.hockey-reference.com/players/j/joshuda01.html	C	Left	2021-2024
Roman Josi	https://www.hockey-reference.com/players/j/josiro01.html	D	Left	2012-2024
Tyson Jost	https://www.hockey-reference.com/players/j/jostty01.html	C	Left	2017-2024
Noah Juulsen	https://www.hockey-reference.com/players/j/juulsno01.html	D	Right	2018-2024
Nazem Kadri	https://www.hockey-reference.com/players/k/kadrina01.html	C	Left	2010-2024
Kaapo KÃ¤hkÃ¶nen	https://www.hockey-reference.com/players/k/kahkoka01.html	G	Not Found	2020-2024
Wyatt Kaiser	https://www.hockey-reference.com/players/k/kaisewy01.html	D	Left	2023-2024
Kaapo Kakko	https://www.hockey-reference.com/players/k/kakkoka01.html	RW	Left	2020-2024
Arthur Kaliyev	https://www.hockey-reference.com/players/k/kaliyar01.html	RW	Left	2021-2024
David KÃ¤mpf	https://www.hockey-reference.com/players/k/kampfda01.html	C	Left	2018-2024
Evander Kane	https://www.hockey-reference.com/players/k/kaneev01.html	LW	Left	2010-2024
Patrick Kane	https://www.hockey-reference.com/players/k/kanepa01.html	RW	Left	2008-2024
Kasperi Kapanen	https://www.hockey-reference.com/players/k/kapanka01.html	RW	Right	2016-2024
Kirill Kaprizov	https://www.hockey-reference.com/players/k/kapriki01.html	LW	Left	2021-2024
Erik Karlsson	https://www.hockey-reference.com/players/k/karlser01.html	D	Right	2010-2024
Linus Karlsson	https://www.hockey-reference.com/players/k/karlsli01.html	C	Right	2024
William Karlsson	https://www.hockey-reference.com/players/k/karlswi01.html	C	Left	2015-2024
Tye Kartye	https://www.hockey-reference.com/players/k/kartyty01.html	F	Left	2024
Mark Kastelic	https://www.hockey-reference.com/players/k/kastema01.html	C	Right	2022-2024
Boris Katchouk	https://www.hockey-reference.com/players/k/katchbo01.html	LW	Left	2022-2024
MiloÅ¡ Kelemen	https://www.hockey-reference.com/players/k/kelemmi01.html	F	Left	2023-2024
Clayton Keller	https://www.hockey-reference.com/players/k/kellecl01.html	C	Left	2017-2024
Parker Kelly	https://www.hockey-reference.com/players/k/kellypa01.html	F	Left	2021-2024
Philip Kemp	https://www.hockey-reference.com/players/k/kempph01.html	D	Right	2024
Adrian Kempe	https://www.hockey-reference.com/players/k/kempead01.html	LW	Left	2017-2024
Alexander Kerfoot	https://www.hockey-reference.com/players/k/kerfoal01.html	C	Left	2018-2024
Matthew Kessel	https://www.hockey-reference.com/players/k/kessema01.html	D	Right	2023-2024
Michael Kesselring	https://www.hockey-reference.com/players/k/kessemi01.html	D	Right	2023-2024
Jujhar Khaira	https://www.hockey-reference.com/players/k/khairju01.html	LW	Left	2016-2024
Marat Khusnutdinov	https://www.hockey-reference.com/players/k/khusnma01.html	C	Left	2024
Alex Killorn	https://www.hockey-reference.com/players/k/killoal01.html	C	Left	2013-2024
Justin Kirkland	https://www.hockey-reference.com/players/k/kirklju01.html	LW	Left	2023-2024
Joel Kiviranta	https://www.hockey-reference.com/players/k/kivirjo01.html	F	Left	2020-2024
Adam Klapka	https://www.hockey-reference.com/players/k/klapkad01.html	F	Right	2024
Tyler Kleven	https://www.hockey-reference.com/players/k/klevety01.html	D	Left	2023-2024
John Klingberg	https://www.hockey-reference.com/players/k/klingjo01.html	D	Right	2015-2024
Matthew Knies	https://www.hockey-reference.com/players/k/kniesma01.html	LW	Left	2023-2024
Nikolai Knyzhov	https://www.hockey-reference.com/players/k/knyzhni01.html	D	Left	2020-2024
Patrik Koch	https://www.hockey-reference.com/players/k/kochpa01.html	D	Left	2024
Pyotr Kochetkov	https://www.hockey-reference.com/players/k/kochepy01.html	G	Not Found	2022-2024
Cole Koepke	https://www.hockey-reference.com/players/k/koepkco01.html	LW	Left	2023-2024
Keegan Kolesar	https://www.hockey-reference.com/players/k/koleske01.html	RW	Right	2020-2024
Vladislav Kolyachonok	https://www.hockey-reference.com/players/k/kolyavl01.html	D	Left	2022-2024
Travis Konecny	https://www.hockey-reference.com/players/k/konectr01.html	C	Right	2017-2024
AnÅ¾e Kopitar	https://www.hockey-reference.com/players/k/kopitan01.html	C	Left	2007-2024
Joona Koppanen	https://www.hockey-reference.com/players/k/koppajo01.html	LW	Left	2023-2024
Kevin Korchinski	https://www.hockey-reference.com/players/k/korchke01.html	D	Left	2024
Kaedan Korczak	https://www.hockey-reference.com/players/k/korczka01.html	D	Right	2022-2024
Joonas Korpisalo	https://www.hockey-reference.com/players/k/korpijo01.html	G	Not Found	2016-2024
Klim Kostin	https://www.hockey-reference.com/players/k/kostikl01.html	C	Left	2020-2024
Jesperi Kotkaniemi	https://www.hockey-reference.com/players/k/kotkaje01.html	C	Left	2019-2024
Johnathan Kovacevic	https://www.hockey-reference.com/players/k/kovacjo01.html	D	Right	2022-2024
Peyton Krebs	https://www.hockey-reference.com/players/k/krebspe01.html	C	Left	2021-2024
Chris Kreider	https://www.hockey-reference.com/players/k/kreidch01.html	LW	Left	2013-2024
Torey Krug	https://www.hockey-reference.com/players/k/krugto01.html	D	Left	2012-2024
Dominik KubalÃ­k	https://www.hockey-reference.com/players/k/kubaldo01.html	LW	Left	2020-2024
Nikita Kucherov	https://www.hockey-reference.com/players/k/kucheni01.html	RW	Left	2014-2024
Darcy Kuemper	https://www.hockey-reference.com/players/k/kuempda01.html	G	Not Found	2013-2024
Brett Kulak	https://www.hockey-reference.com/players/k/kulakbr01.html	D	Left	2015-2024
Jiri Kulich	https://www.hockey-reference.com/players/k/kulicji01.html	C	Left	2024
Dmitry Kulikov	https://www.hockey-reference.com/players/k/kulikdm01.html	D	Left	2010-2024
Luke Kunin	https://www.hockey-reference.com/players/k/kuninlu01.html	C	Right	2018-2024
Rasmus Kupari	https://www.hockey-reference.com/players/k/kuparra01.html	C	Right	2021-2024
Sean Kuraly	https://www.hockey-reference.com/players/k/kuralse01.html	C	Left	2017-2024
Philipp Kurashev	https://www.hockey-reference.com/players/k/kurasph01.html	C	Left	2021-2024
Andrei Kuzmenko	https://www.hockey-reference.com/players/k/kuzmean01.html	F	Right	2023-2024
Evgeny Kuznetsov	https://www.hockey-reference.com/players/k/kuzneev01.html	C	Left	2014-2024
Yan Kuznetsov	https://www.hockey-reference.com/players/k/kuzneya01.html	D	Left	2024
Oliver Kylington	https://www.hockey-reference.com/players/k/kylinol01.html	D	Left	2016-2024
Jordan Kyrou	https://www.hockey-reference.com/players/k/kyroujo01.html	C	Right	2019-2024
Kevin Labanc	https://www.hockey-reference.com/players/l/labanke01.html	RW	Right	2017-2024
Samuel Laberge	https://www.hockey-reference.com/players/l/labersa01.html	W	Left	2024
Jackson LaCombe	https://www.hockey-reference.com/players/l/lacomja01.html	D	Left	2023-2024
Alex Laferriere	https://www.hockey-reference.com/players/l/laferal01.html	RW	Right	2024
Sam Lafferty	https://www.hockey-reference.com/players/l/laffesa01.html	C	Right	2020-2024
Alexis LafreniÃ¨re	https://www.hockey-reference.com/players/l/lafreal01.html	LW	Left	2021-2024
William Lagesson	https://www.hockey-reference.com/players/l/lageswi01.html	D	Left	2020-2024
Patrik Laine	https://www.hockey-reference.com/players/l/lainepa01.html	RW	Right	2017-2024
Maxime Lajoie	https://www.hockey-reference.com/players/l/lajoima01.html	D	Left	2019-2024
Brad Lambert	https://www.hockey-reference.com/players/l/lambebr01.html	C	Right	2024
Kevin Lankinen	https://www.hockey-reference.com/players/l/lankike01.html	G	Not Found	2021-2024
Hendrix Lapierre	https://www.hockey-reference.com/players/l/lapiehe01.html	C	Left	2022-2024
Dylan Larkin	https://www.hockey-reference.com/players/l/larkidy01.html	C	Left	2016-2024
Adam Larsson	https://www.hockey-reference.com/players/l/larssad01.html	D	Right	2012-2024
Scott Laughton	https://www.hockey-reference.com/players/l/laughsc01.html	C	Left	2013-2024
Jakub Lauko	https://www.hockey-reference.com/players/l/laukoja01.html	C	Left	2023-2024
Jeremy Lauzon	https://www.hockey-reference.com/players/l/lauzoje01.html	D	Left	2019-2024
Raphael Lavoie	https://www.hockey-reference.com/players/l/lavoira01.html	C	Right	2024
Curtis Lazar	https://www.hockey-reference.com/players/l/lazarcu01.html	C	Right	2015-2024
Brett Leason	https://www.hockey-reference.com/players/l/leasobr01.html	RW	Right	2022-2024
Nick Leddy	https://www.hockey-reference.com/players/l/leddyni01.html	D	Left	2011-2024
Anders Lee	https://www.hockey-reference.com/players/l/leean01.html	LW	Left	2013-2024
Artturi Lehkonen	https://www.hockey-reference.com/players/l/lehkoar01.html	LW	Left	2017-2024
Brendan Lemieux	https://www.hockey-reference.com/players/l/lemiebr01.html	LW	Left	2018-2024
John Leonard	https://www.hockey-reference.com/players/l/leonajo01.html	LW	Left	2021-2024
Jake Leschyshyn	https://www.hockey-reference.com/players/l/leschja01.html	C	Left	2022-2024
Kris Letang	https://www.hockey-reference.com/players/l/letankr01.html	D	Right	2007-2024
Vinni Lettieri	https://www.hockey-reference.com/players/l/lettivi01.html	C	Right	2018-2024
Devon Levi	https://www.hockey-reference.com/players/l/levide01.html	G	Not Found	2023-2024
Trevor Lewis	https://www.hockey-reference.com/players/l/lewistr01.html	C	Right	2009-2024
Timothy Liljegren	https://www.hockey-reference.com/players/l/liljeti01.html	D	Right	2020-2024
Kole Lind	https://www.hockey-reference.com/players/l/lindko01.html	RW	Right	2021-2024
Oskar Lindblom	https://www.hockey-reference.com/players/l/lindbos01.html	LW	Left	2018-2024
Esa Lindell	https://www.hockey-reference.com/players/l/lindees01.html	D	Left	2016-2024
Charlie Lindgren	https://www.hockey-reference.com/players/l/lindgch01.html	G	Not Found	2016-2024
Ryan Lindgren	https://www.hockey-reference.com/players/l/lindgry01.html	D	Left	2019-2024
Elias Lindholm	https://www.hockey-reference.com/players/l/lindhel01.html	C	Right	2014-2024
Hampus Lindholm	https://www.hockey-reference.com/players/l/lindhha01.html	D	Left	2014-2024
Gustav LindstrÃ¶m	https://www.hockey-reference.com/players/l/lindsgu01.html	D	Right	2020-2024
Blake Lizotte	https://www.hockey-reference.com/players/l/lizotbl01.html	C	Left	2019-2024
William Lockwood	https://www.hockey-reference.com/players/l/lockwwi01.html	RW	Right	2021-2024
Mason Lohrei	https://www.hockey-reference.com/players/l/lohrema01.html	D	Left	2024
Ryan Lomberg	https://www.hockey-reference.com/players/l/lombery01.html	LW	Left	2018-2024
Steven Lorentz	https://www.hockey-reference.com/players/l/lorenst01.html	C	Left	2021-2024
Adam Lowry	https://www.hockey-reference.com/players/l/lowryad01.html	LW	Left	2015-2024
Jake Lucchini	https://www.hockey-reference.com/players/l/lucchja01.html	F	Left	2023-2024
Milan Lucic	https://www.hockey-reference.com/players/l/lucicmi01.html	LW	Left	2008-2024
John Ludvig	https://www.hockey-reference.com/players/l/ludvijo01.html	D	Left	2024
Anton Lundell	https://www.hockey-reference.com/players/l/lundean01.html	C	Left	2022-2024
Isac LundestrÃ¶m	https://www.hockey-reference.com/players/l/lundeis01.html	C	Left	2019-2024
Nils Lundkvist	https://www.hockey-reference.com/players/l/lundkni01.html	D	Right	2022-2024
Tristan Luneau	https://www.hockey-reference.com/players/l/luneatr01.html	D	Right	2024
Eetu Luostarinen	https://www.hockey-reference.com/players/l/luostee01.html	C	Left	2020-2024
Ukko-Pekka Luukkonen	https://www.hockey-reference.com/players/l/luukkuk01.html	G	Not Found	2021-2024
Olle Lycksell	https://www.hockey-reference.com/players/l/lycksol01.html	RW	Left	2023-2024
Alex Lyon	https://www.hockey-reference.com/players/l/lyonal01.html	G	Not Found	2018-2024
Ilya Lyubushkin	https://www.hockey-reference.com/players/l/lyubuil01.html	D	Right	2019-2024
Olli MÃ¤Ã¤ttÃ¤	https://www.hockey-reference.com/players/m/maattol01.html	D	Left	2014-2024
Matias Maccelli	https://www.hockey-reference.com/players/m/maccema01.html	LW	Left	2022-2024
Kurtis MacDermid	https://www.hockey-reference.com/players/m/macdeku01.html	D	Left	2018-2024
Jacob MacDonald	https://www.hockey-reference.com/players/m/macdoja02.html	D	Left	2019-2024
Mackenzie MacEachern	https://www.hockey-reference.com/players/m/maceama01.html	LW	Left	2019-2024
Zack MacEwen	https://www.hockey-reference.com/players/m/macewza01.html	C	Right	2019-2024
Connor Mackey	https://www.hockey-reference.com/players/m/mackeco01.html	D	Left	2021-2024
Nathan MacKinnon	https://www.hockey-reference.com/players/m/mackina01.html	C	Right	2014-2024
Kyle MacLean	https://www.hockey-reference.com/players/m/macleky01.html	F	Left	2024
Josh Mahura	https://www.hockey-reference.com/players/m/mahurjo01.html	D	Left	2019-2024
Logan Mailloux	https://www.hockey-reference.com/players/m/mailllo01.html	D	Right	2024
Cale Makar	https://www.hockey-reference.com/players/m/makarca01.html	D	Right	2020-2024
James Malatesta	https://www.hockey-reference.com/players/m/malatja01.html	LW	Left	2024
Beck Malenstyn	https://www.hockey-reference.com/players/m/malenbe01.html	LW	Left	2020-2024
Sam Malinski	https://www.hockey-reference.com/players/m/malinsa01.html	D	Right	2024
Evgeni Malkin	https://www.hockey-reference.com/players/m/malkiev01.html	C	Left	2007-2024
Andrew Mangiapane	https://www.hockey-reference.com/players/m/mangian01.html	LW	Left	2018-2024
Josh Manson	https://www.hockey-reference.com/players/m/mansojo01.html	D	Right	2015-2024
Anthony Mantha	https://www.hockey-reference.com/players/m/manthan01.html	RW	Left	2016-2024
Brad Marchand	https://www.hockey-reference.com/players/m/marchbr03.html	LW	Left	2010-2024
Kirill Marchenko	https://www.hockey-reference.com/players/m/marchki01.html	RW	Right	2023-2024
Jonathan Marchessault	https://www.hockey-reference.com/players/a/audymjo01.html	C	Right	2013-2024
Mason Marchment	https://www.hockey-reference.com/players/m/marchma01.html	F	Left	2020-2024
John Marino	https://www.hockey-reference.com/players/m/marinjo01.html	D	Right	2020-2024
Jacob MarkstrÃ¶m	https://www.hockey-reference.com/players/m/marksja02.html	G	Not Found	2011-2024
Mitch Marner	https://www.hockey-reference.com/players/m/marnemi01.html	RW	Right	2017-2024
Pat Maroon	https://www.hockey-reference.com/players/m/maroopa01.html	LW	Left	2012-2024
Matt Martin	https://www.hockey-reference.com/players/m/martima02.html	LW	Left	2010-2024
Spencer Martin	https://www.hockey-reference.com/players/m/martisp01.html	G	Not Found	2017-2024
Alec Martinez	https://www.hockey-reference.com/players/m/martial01.html	D	Left	2010-2024
Jordan Martinook	https://www.hockey-reference.com/players/m/martijo01.html	LW	Left	2015-2024
Emil Martinsen Lilleberg	https://www.hockey-reference.com/players/m/martiem01.html	D	Left	2024
Mike Matheson	https://www.hockey-reference.com/players/m/mathemi01.html	D	Left	2016-2024
Nikolas Matinpalo	https://www.hockey-reference.com/players/m/matinni01.html	D	Right	2024
Auston Matthews	https://www.hockey-reference.com/players/m/matthau01.html	C	Left	2017-2024
Scott Mayfield	https://www.hockey-reference.com/players/m/mayfisc01.html	D	Right	2014-2024
Charlie McAvoy	https://www.hockey-reference.com/players/m/mcavoch01.html	D	Right	2018-2024
Jack McBain	https://www.hockey-reference.com/players/m/mcbaija03.html	C	Left	2022-2024
Jake McCabe	https://www.hockey-reference.com/players/m/mccabja01.html	D	Left	2014-2024
Jared McCann	https://www.hockey-reference.com/players/m/mccanja01.html	C	Left	2016-2024
Michael McCarron	https://www.hockey-reference.com/players/m/mccarmi01.html	RW	Right	2016-2024
