name	link	position	shoots	years_active
Sammy Blais	https://www.hockey-reference.com/players/b/blaissa01.html	LW	Left	2018-2024
Jackson Blake	https://www.hockey-reference.com/players/b/blakeja02.html	RW	Right	2024
Nick Blankenburg	https://www.hockey-reference.com/players/b/blankni01.html	D	Right	2022-2024
Anton Blidh	https://www.hockey-reference.com/players/b/blidhan01.html	LW	Left	2017-2024
Teddy Blueger	https://www.hockey-reference.com/players/b/bluegte01.html	C	Left	2019-2024
Sergei Bobrovsky	https://www.hockey-reference.com/players/b/bobrose01.html	G	Not Found	2011-2024
Brock Boeser	https://www.hockey-reference.com/players/b/boesebr01.html	RW	Right	2017-2024
Zach Bogosian	https://www.hockey-reference.com/players/b/bogosza01.html	D	Right	2009-2024
Samuel Bolduc	https://www.hockey-reference.com/players/b/boldusa01.html	D	Left	2023-2024
Zachary Bolduc	https://www.hockey-reference.com/players/b/bolduza01.html	C	Left	2024
Matt Boldy	https://www.hockey-reference.com/players/b/boldyma01.html	LW	Left	2022-2024
Nick Bonino	https://www.hockey-reference.com/players/b/boninni01.html	C	Left	2010-2024
Adam Boqvist	https://www.hockey-reference.com/players/b/boqviad01.html	D	Right	2020-2024
Jesper Boqvist	https://www.hockey-reference.com/players/b/boqvije01.html	C	Left	2020-2024
Thomas Bordeleau	https://www.hockey-reference.com/players/b/bordeth01.html	C	Left	2022-2024
William Borgen	https://www.hockey-reference.com/players/b/borgewi01.html	D	Right	2019-2024
Robert Bortuzzo	https://www.hockey-reference.com/players/b/borturo01.html	D	Right	2012-2024
Evan Bouchard	https://www.hockey-reference.com/players/b/bouchev01.html	D	Right	2019-2024
Mavrik Bourque	https://www.hockey-reference.com/players/b/bourqma01.html	C	Right	2024
Shane Bowers	https://www.hockey-reference.com/players/b/bowersh01.html	C	Left	2023-2024
Travis Boyd	https://www.hockey-reference.com/players/b/boydtr01.html	C	Right	2018-2024
Erik BrÃ¤nnstrÃ¶m	https://www.hockey-reference.com/players/b/branner01.html	D	Left	2019-2024
Jesper Bratt	https://www.hockey-reference.com/players/b/brattje01.html	W	Left	2018-2024
Justin Brazeau	https://www.hockey-reference.com/players/b/brazeju01.html	F	Right	2024
Gavin Brindley	https://www.hockey-reference.com/players/b/brindga01.html	C	Right	2024
Bobby Brink	https://www.hockey-reference.com/players/b/brinkbo01.html	RW	Right	2022-2024
Brendan Brisson	https://www.hockey-reference.com/players/b/brissbr01.html	C	Left	2024
Philip Broberg	https://www.hockey-reference.com/players/b/brobeph01.html	D	Left	2022-2024
T.J. Brodie	https://www.hockey-reference.com/players/b/broditj01.html	D	Left	2011-2024
Jonas Brodin	https://www.hockey-reference.com/players/b/brodijo01.html	D	Left	2013-2024
Jonny Brodzinski	https://www.hockey-reference.com/players/b/brodzjo01.html	C	Right	2017-2024
Laurent Brossoit	https://www.hockey-reference.com/players/b/brossla01.html	G	Not Found	2015-2024
Connor Brown	https://www.hockey-reference.com/players/b/brownco02.html	RW	Right	2016-2024
Josh Brown	https://www.hockey-reference.com/players/b/brownjo01.html	D	Right	2019-2024
Patrick Brown	https://www.hockey-reference.com/players/b/brownpa02.html	C	Right	2015-2024
Jacob Bryson	https://www.hockey-reference.com/players/b/brysoja01.html	D	Left	2021-2024
Pavel Buchnevich	https://www.hockey-reference.com/players/b/buchnpa01.html	LW	Left	2017-2024
Michael Bunting	https://www.hockey-reference.com/players/b/buntimi01.html	LW	Left	2019-2024
AndrÃ© Burakovsky	https://www.hockey-reference.com/players/b/burakan01.html	LW	Left	2015-2024
Callahan Burke	https://www.hockey-reference.com/players/b/burkeca01.html	C	Right	2023-2024
Brent Burns	https://www.hockey-reference.com/players/b/burnsbr01.html	D	Right	2004-2024
Kyle Burroughs	https://www.hockey-reference.com/players/b/burroky01.html	D	Right	2021-2024
Cameron Butler	https://www.hockey-reference.com/players/b/butleca01.html	F	Right	2024
Quinton Byfield	https://www.hockey-reference.com/players/b/byfiequ01.html	C	Left	2021-2024
Bowen Byram	https://www.hockey-reference.com/players/b/byrambo01.html	D	Left	2021-2024
Jack Campbell	https://www.hockey-reference.com/players/c/campbja01.html	G	Not Found	2014-2024
Michael Carcone	https://www.hockey-reference.com/players/c/carcomi01.html	F	Left	2022-2024
Declan Carlile	https://www.hockey-reference.com/players/c/carlide01.html	D	Left	2024
Brandon Carlo	https://www.hockey-reference.com/players/c/carlobr01.html	D	Right	2017-2024
John Carlson	https://www.hockey-reference.com/players/c/carlsjo01.html	D	Right	2010-2024
Leo Carlsson	https://www.hockey-reference.com/players/c/carlsle01.html	C	Left	2024
Ryan Carpenter	https://www.hockey-reference.com/players/c/carpery01.html	C	Right	2016-2024
Sam Carrick	https://www.hockey-reference.com/players/c/carrisa01.html	C	Right	2015-2024
Alexandre Carrier	https://www.hockey-reference.com/players/c/carrial01.html	D	Right	2017-2024
William Carrier	https://www.hockey-reference.com/players/c/carriwi01.html	LW	Left	2017-2024
Jeff Carter	https://www.hockey-reference.com/players/c/carteje01.html	C	Right	2006-2024
Noah Cates	https://www.hockey-reference.com/players/c/catesno01.html	LW	Left	2022-2024
Cole Caufield	https://www.hockey-reference.com/players/c/caufico01.html	RW	Right	2021-2024
Cody Ceci	https://www.hockey-reference.com/players/c/cecico01.html	D	Right	2014-2024
Erik ÄernÃ¡k	https://www.hockey-reference.com/players/c/cernaer01.html	D	Right	2019-2024
Thomas Chabot	https://www.hockey-reference.com/players/c/chaboth01.html	D	Left	2017-2024
Mitchell Chaffee	https://www.hockey-reference.com/players/c/chaffmi01.html	F	Right	2022-2024
Rourke Chartier	https://www.hockey-reference.com/players/c/chartro01.html	C	Left	2019-2024
Jalen Chatfield	https://www.hockey-reference.com/players/c/chatfja01.html	D	Right	2021-2024
Ben Chiarot	https://www.hockey-reference.com/players/c/chiarbe01.html	D	Left	2014-2024
Nikita Chibrikov	https://www.hockey-reference.com/players/c/chibrni01.html	RW	Left	2024
Yegor Chinakhov	https://www.hockey-reference.com/players/c/chinaye01.html	RW	Left	2022-2024
Declan Chisholm	https://www.hockey-reference.com/players/c/chishde01.html	D	Left	2022-2024
Jake Christiansen	https://www.hockey-reference.com/players/c/chrisja01.html	D	Left	2022-2024
Magnus Chrona	https://www.hockey-reference.com/players/c/chronma01.html	G	Not Found	2024
Jakob Chychrun	https://www.hockey-reference.com/players/c/chychja01.html	D	Left	2017-2024
Filip Chytil	https://www.hockey-reference.com/players/c/chytifi01.html	C	Left	2018-2024
Anthony Cirelli	https://www.hockey-reference.com/players/c/cirelan01.html	C	Left	2018-2024
Casey Cizikas	https://www.hockey-reference.com/players/c/cizikca01.html	C	Left	2012-2024
Kale Clague	https://www.hockey-reference.com/players/c/claguka01.html	D	Left	2020-2024
Brandt Clarke	https://www.hockey-reference.com/players/c/clarkbr02.html	D	Right	2023-2024
Graeme Clarke	https://www.hockey-reference.com/players/c/clarkgr01.html	RW	Right	2024
Connor Clifton	https://www.hockey-reference.com/players/c/cliftco01.html	D	Right	2019-2024
Cal Clutterbuck	https://www.hockey-reference.com/players/c/cluttca01.html	RW	Right	2008-2024
Dylan Coghlan	https://www.hockey-reference.com/players/c/coghldy01.html	D	Right	2021-2024
Andrew Cogliano	https://www.hockey-reference.com/players/c/coglian01.html	LW	Left	2008-2024
Sam Colangelo	https://www.hockey-reference.com/players/c/colansa01.html	RW	Right	2024
Ian Cole	https://www.hockey-reference.com/players/c/coleia01.html	D	Left	2011-2024
Blake Coleman	https://www.hockey-reference.com/players/c/colembl01.html	C	Left	2017-2024
Ross Colton	https://www.hockey-reference.com/players/c/coltoro01.html	C	Left	2021-2024
J.T. Compher	https://www.hockey-reference.com/players/c/comphj.01.html	LW	Right	2017-2024
Eric Comrie	https://www.hockey-reference.com/players/c/comrier01.html	G	Not Found	2017-2024
Max Comtois	https://www.hockey-reference.com/players/c/comtoma01.html	LW	Left	2019-2024
Lucas Condotta	https://www.hockey-reference.com/players/c/condolu01.html	F	Left	2023-2024
Kyle Connor	https://www.hockey-reference.com/players/c/connoky01.html	LW	Left	2017-2024
Devin Cooley	https://www.hockey-reference.com/players/c/coolede01.html	G	Not Found	2024
Logan Cooley	https://www.hockey-reference.com/players/c/coolelo01.html	C	Left	2024
Pheonix Copley	https://www.hockey-reference.com/players/c/copleph01.html	G	Not Found	2016-2024
Andrew Copp	https://www.hockey-reference.com/players/c/coppan01.html	C	Left	2015-2024
Lukas Cormier	https://www.hockey-reference.com/players/c/cormilu01.html	D	Left	2024
Matthew Coronato	https://www.hockey-reference.com/players/c/coronma01.html	RW	Right	2023-2024
Paul Cotter	https://www.hockey-reference.com/players/c/cottepa01.html	C	Left	2022-2024
Nick Cousins	https://www.hockey-reference.com/players/c/cousini01.html	C	Left	2015-2024
Logan Couture	https://www.hockey-reference.com/players/c/coutulo01.html	C	Left	2010-2024
Sean Couturier	https://www.hockey-reference.com/players/c/coutuse01.html	C	Left	2012-2024
Charlie Coyle	https://www.hockey-reference.com/players/c/coylech01.html	C	Right	2013-2024
Dylan Cozens	https://www.hockey-reference.com/players/c/cozendy01.html	C	Right	2021-2024
Louis Crevier	https://www.hockey-reference.com/players/c/crevilo01.html	D	Right	2024
Angus Crookshank	https://www.hockey-reference.com/players/c/crookan01.html	LW	Left	2024
Sidney Crosby	https://www.hockey-reference.com/players/c/crosbsi01.html	C	Left	2006-2024
Cameron Crotty	https://www.hockey-reference.com/players/c/crottca01.html	D	Right	2024
Lawson Crouse	https://www.hockey-reference.com/players/c/crousla01.html	LW	Left	2017-2024
Maxwell Crozier	https://www.hockey-reference.com/players/c/crozima01.html	D	Right	2024
William Cuylle	https://www.hockey-reference.com/players/c/cuyllwi01.html	LW	Left	2023-2024
Austin Czarnik	https://www.hockey-reference.com/players/c/czarnau01.html	C	Right	2017-2024
Joey Daccord	https://www.hockey-reference.com/players/d/daccojo01.html	G	Not Found	2019-2024
Kirby Dach	https://www.hockey-reference.com/players/d/dachki01.html	C	Right	2020-2024
Evgenii Dadonov	https://www.hockey-reference.com/players/d/dadonev01.html	RW	Left	2010-2024
Rasmus Dahlin	https://www.hockey-reference.com/players/d/dahlira01.html	D	Left	2019-2024
Phillip Danault	https://www.hockey-reference.com/players/d/danauph01.html	C	Left	2015-2024
Justin Danforth	https://www.hockey-reference.com/players/d/danfoju01.html	RW	Right	2022-2024
Nico Daws	https://www.hockey-reference.com/players/d/dawsni01.html	G	Not Found	2022-2024
Calvin de Haan	https://www.hockey-reference.com/players/d/dehaaca01.html	D	Left	2012-2024
Zach Dean	https://www.hockey-reference.com/players/d/deanza01.html	C	Left	2024
Tony DeAngelo	https://www.hockey-reference.com/players/d/deangan01.html	D	Right	2017-2024
Alex DeBrincat	https://www.hockey-reference.com/players/d/debrial01.html	RW	Right	2018-2024
Jake DeBrusk	https://www.hockey-reference.com/players/d/debruja01.html	LW	Left	2018-2024
Luca Del Bel Belluz	https://www.hockey-reference.com/players/d/delbelu01.html	C	Left	2024
Marc Del Gaizo	https://www.hockey-reference.com/players/d/delgama01.html	D	Left	2024
Ethan Del Mastro	https://www.hockey-reference.com/players/d/delmaet01.html	D	Left	2024
Ty Dellandrea	https://www.hockey-reference.com/players/d/dellaty01.html	C	Right	2021-2024
Dylan DeMelo	https://www.hockey-reference.com/players/d/demeldy01.html	D	Right	2016-2024
Thatcher Demko	https://www.hockey-reference.com/players/d/demkoth01.html	G	Not Found	2018-2024
Grigori Denisenko	https://www.hockey-reference.com/players/d/denisgr01.html	LW	Right	2021-2024
Travis Dermott	https://www.hockey-reference.com/players/d/dermotr01.html	D	Left	2018-2024
Vincent Desharnais	https://www.hockey-reference.com/players/d/deshavi01.html	D	Right	2023-2024
Nick DeSimone	https://www.hockey-reference.com/players/d/desimni01.html	D	Right	2023-2024
Nicolas Deslauriers	https://www.hockey-reference.com/players/d/deslani01.html	LW	Left	2014-2024
Casey DeSmith	https://www.hockey-reference.com/players/d/desmica01.html	G	Not Found	2018-2024
Connor Dewar	https://www.hockey-reference.com/players/d/dewarco01.html	C	Left	2022-2024
Phillip Di Giuseppe	https://www.hockey-reference.com/players/d/digiuph01.html	LW	Left	2016-2024
Jason Dickinson	https://www.hockey-reference.com/players/d/dickija01.html	C	Left	2016-2024
Brenden Dillon	https://www.hockey-reference.com/players/d/dillobr01.html	D	Left	2012-2024
Josh Doan	https://www.hockey-reference.com/players/d/doanjo01.html	RW	Right	2024
Noah Dobson	https://www.hockey-reference.com/players/d/dobsono01.html	D	Right	2020-2024
Max Domi	https://www.hockey-reference.com/players/d/domima01.html	LW	Left	2016-2024
Louis Domingue	https://www.hockey-reference.com/players/d/dominlo01.html	G	Not Found	2015-2024
Ryan Donato	https://www.hockey-reference.com/players/d/donatry01.html	C	Left	2018-2024
Pavel Dorofeyev	https://www.hockey-reference.com/players/d/dorofpa01.html	LW	Left	2022-2024
LukÃ¡Å¡ DostÃ¡l	https://www.hockey-reference.com/players/d/dostalu01.html	G	Not Found	2022-2024
Drew Doughty	https://www.hockey-reference.com/players/d/doughdr01.html	D	Right	2009-2024
Nic Dowd	https://www.hockey-reference.com/players/d/dowdni01.html	C	Right	2016-2024
Justin Dowling	https://www.hockey-reference.com/players/d/dowliju01.html	C	Left	2017-2024
Leon Draisaitl	https://www.hockey-reference.com/players/d/draisle01.html	C	Left	2015-2024
Chris Driedger	https://www.hockey-reference.com/players/d/driedch01.html	G	Not Found	2015-2024
Jonathan Drouin	https://www.hockey-reference.com/players/d/drouijo01.html	LW	Left	2015-2024
Jack Drury	https://www.hockey-reference.com/players/d/druryja01.html	C	Left	2022-2024
Jamie Drysdale	https://www.hockey-reference.com/players/d/drysdja01.html	D	Right	2021-2024
Dillon DubÃ©	https://www.hockey-reference.com/players/d/dubedi01.html	C	Left	2019-2024
Pierrick Dube	https://www.hockey-reference.com/players/d/dubepi01.html	F	Left	2024
Pierre-Luc Dubois	https://www.hockey-reference.com/players/d/duboipi01.html	LW	Left	2018-2024
Matt Duchene	https://www.hockey-reference.com/players/d/duchema01.html	C	Left	2010-2024
Anthony Duclair	https://www.hockey-reference.com/players/d/duclaan01.html	LW	Left	2015-2024
Walker Duehr	https://www.hockey-reference.com/players/d/duehrwa01.html	F	Right	2022-2024
Brandon Duhaime	https://www.hockey-reference.com/players/d/duhaibr01.html	RW	Left	2022-2024
Mathew Dumba	https://www.hockey-reference.com/players/d/dumbama01.html	D	Right	2014-2024
Brian Dumoulin	https://www.hockey-reference.com/players/d/dumoubr01.html	D	Left	2014-2024
Vince Dunn	https://www.hockey-reference.com/players/d/dunnvi02.html	D	Left	2018-2024
Sean Durzi	https://www.hockey-reference.com/players/d/durzise01.html	D	Right	2022-2024
Christian Dvorak	https://www.hockey-reference.com/players/d/dvorach01.html	C	Left	2017-2024
Jordan Eberle	https://www.hockey-reference.com/players/e/eberljo01.html	RW	Right	2011-2024
Joel Edmundson	https://www.hockey-reference.com/players/e/edmunjo01.html	D	Left	2016-2024
Adam Edstrom	https://www.hockey-reference.com/players/e/edstrad01.html	C	Left	2024
Simon Edvinsson	https://www.hockey-reference.com/players/e/edvinsi01.html	D	Left	2023-2024
Nikolaj Ehlers	https://www.hockey-reference.com/players/e/ehlerni01.html	LW	Left	2016-2024
Jack Eichel	https://www.hockey-reference.com/players/e/eicheja01.html	C	Right	2016-2024
Aaron Ekblad	https://www.hockey-reference.com/players/e/ekblaaa01.html	D	Right	2015-2024
Mattias Ekholm	https://www.hockey-reference.com/players/e/ekholma01.html	D	Left	2012-2024
William Eklund	https://www.hockey-reference.com/players/e/eklunwi01.html	LW	Left	2022-2024
Oliver Ekman-Larsson	https://www.hockey-reference.com/players/e/ekmanol01.html	D	Left	2011-2024
Lars Eller	https://www.hockey-reference.com/players/e/ellerla01.html	C	Left	2010-2024
Ty Emberson	https://www.hockey-reference.com/players/e/emberty01.html	D	Right	2024
Andreas Englund	https://www.hockey-reference.com/players/e/engluan01.html	D	Left	2017-2024
Pierre Engvall	https://www.hockey-reference.com/players/e/engvapi01.html	LW	Left	2020-2024
MacKenzie Entwistle	https://www.hockey-reference.com/players/e/entwima01.html	RW	Right	2021-2024
Joel Eriksson Ek	https://www.hockey-reference.com/players/e/eriksjo02.html	C	Left	2017-2024
Adam Erne	https://www.hockey-reference.com/players/e/ernead01.html	LW	Left	2017-2024
Samuel Ersson	https://www.hockey-reference.com/players/e/erssosa01.html	G	Not Found	2023-2024
Luke Evangelista	https://www.hockey-reference.com/players/e/evanglu01.html	RW	Right	2023-2024
Jake Evans	https://www.hockey-reference.com/players/e/evansja02.html	C	Right	2020-2024
Ryker Evans	https://www.hockey-reference.com/players/e/evansry01.html	D	Left	2024
Michael Eyssimont	https://www.hockey-reference.com/players/e/eyssimi01.html	C	Left	2022-2024
Robby Fabbri	https://www.hockey-reference.com/players/f/fabbrro01.html	C	Left	2016-2024
Dante Fabbro	https://www.hockey-reference.com/players/f/fabbrda01.html	D	Right	2019-2024
Brock Faber	https://www.hockey-reference.com/players/f/faberbr01.html	D	Right	2023-2024
Samuel Fagemo	https://www.hockey-reference.com/players/f/fagemsa01.html	LW	Right	2022-2024
Radek Faksa	https://www.hockey-reference.com/players/f/faksara01.html	C	Left	2016-2024
Adam Fantilli	https://www.hockey-reference.com/players/f/fantiad01.html	C	Left	2024
Joel Farabee	https://www.hockey-reference.com/players/f/farabjo01.html	LW	Left	2020-2024
Hudson Fasching	https://www.hockey-reference.com/players/f/faschhu01.html	RW	Right	2016-2024
Jesper Fast	https://www.hockey-reference.com/players/f/fastje01.html	RW	Right	2014-2024
Justin Faulk	https://www.hockey-reference.com/players/f/faulkju01.html	D	Right	2012-2024
Ivan Fedotov	https://www.hockey-reference.com/players/f/fedotiv01.html	G	Not Found	2024
Martin FehÃ©rvÃ¡ry	https://www.hockey-reference.com/players/f/feherma01.html	D	Left	2020-2024
Mario Ferraro	https://www.hockey-reference.com/players/f/ferrama01.html	D	Left	2020-2024
Kevin Fiala	https://www.hockey-reference.com/players/f/fialake01.html	LW	Left	2015-2024
Christian Fischer	https://www.hockey-reference.com/players/f/fischch01.html	RW	Right	2017-2024
Trey Fix-Wolansky	https://www.hockey-reference.com/players/f/fixwotr01.html	RW	Right	2022-2024
Cale Fleury	https://www.hockey-reference.com/players/f/fleurca01.html	D	Right	2020-2024
Haydn Fleury	https://www.hockey-reference.com/players/f/fleurha01.html	D	Left	2018-2024
Marc-AndrÃ© Fleury	https://www.hockey-reference.com/players/f/fleurma01.html	G	Not Found	2004-2024
Warren Foegele	https://www.hockey-reference.com/players/f/foegewa01.html	LW	Left	2018-2024
Tyson Foerster	https://www.hockey-reference.com/players/f/foersty01.html	RW	Right	2023-2024
